ahlan.	hello
maz3emtch nsowwlo.	I didn't dare ask him.
ah, ewa 7sen lik tnoDi ot3rDi 3la chi rjal zwinin!.	Oh you had better get on and get some handsome men invited then!.
wjjedti chi mosi9a monasiba?.	Have you got some music that will be suitable?.
z3mi, i9der fa9aT igollik rah mamsalich.	Go on, he can only say he is busy.
maghaDerrch.	It can't hurt.
wakha..	Okay..
daba nswwlo..	I'll ask him..
ala kfast, ghadi igollia rah mamsalich.	At worst, he'll tell me he's not available.
sm7 lia, S7abni knna mnDDminha, wach ghatkon nachT ala drnaha flila khra?.	Sorry I thought we were organizing it, are you happy for it to be another night?.
kanDenn kat9Sed lmakla.	I presume you mean food.
lblays dyal lkhdma tahoma khashom ikon fihom douchat o byota dyal tbdal.	Work places also need to provide showers and changing rooms.
kan39el knt khddam 7da dak rrajl lli kan fakhour annaho kayDreb 15 kilometre bl pikala tal lkhdma.	I remember working next to this man who was very proud of cycling 15 km into work.
lil2asaf kant 3aTya mnno ri7t l3rg nnhar kaml!!.	Unfortunately he stank of body odor all day!!.
wayeh, 3ndk Se77..	Yeah, you're right..
mamt2ekkedch chno kat9Sed walakin kayballia ghaykono lbolis f ddekhla!!.	I am not sure what you mean but I think there could be the police at the entrance!!.
kaddir pikala?.	Do you cycle?.
wayeh, knt kandir bzzaf tl7wayj, walakin mora lksida lli yallah chft, mo7al ghan9der nrje3 dghya!.	Yeah, I used to do a lot of things, but after the accident I just saw, I'm not sure I'm gonna make it back so soon!.
makanloumekch..	I don't blame you..
ghatkon trowwenti nit.	You really must be shaken up.
bghiti chi kas datay akhor?.	Do you want another cup of tea?.
ayeh, mr7ba..	Yes, please..
chokran..	Thank you..
ana nachT blm39oul had llila, ghandir chi 7fla f ddar!.	I'm really happy tonight, I'm throwing a party at my house!.
frasi mcha l7al chwia 3la ttnDim, walakin... rah 3id miladi!.	I know it's a little late for the organization, but... it's my birthday!.
kayn bzzaf mayddar wakha hakkak.	There is lots to organize though.
ana fr7an 9derti ddirha..	I'm glad you could make it..
ah, kolchi naDi!.	Yes, everything is done!.
lla, mazal, walakin fikra mzyana!.	No, not yet, but it's a good idea!.
wayeh, hadchi khayb bzzaf.	Yeah, that's too bad.
khoSoSan flmdina.	especially in a city.
dazt lih tomobila 3la rjlih, khrej mnno ddemm bzaf.	The car ran over his leg, he bled a lot.
ah, bSSe7 anna SSogan tlpikala khaTir flmdina!.	Yes, it's true that bike rides are very vulnerable in the city!.
khllina ntmennaw annaho ghaykon bikhir.	Let us hope he will be ok.
lkamyowat i9dro ikono asli7a 9atila.	Lorries can be lethal weapons.
fkhbarek?.	Do you know?.
3lliser dyalk.	On your left!.
mzyan..	All right..
kantmenna t3ref tdir dakchi bo7dek.	I hope you know how to do that on your own.
ghan7eTT daba a chef.	Serving now chef.
3ndhom Talabat m7eddeda dyal regime.	They have special dietary requirements.
bla 7lib a chef.	No milk chef.
3ndna SoS bla 7lib?.	Have we got a milk-free sauce?.
kan khess tgol lia 9bel.	You should have told me earlier.
la, ma3ndna SoS fabor!.	No, we don't have free sauce!.
walakin n9dro nSawbo SoS bla ml7a..	But we can make a sauce without salt..
3ndk chi fikra kifach katSawb SoS bla ml7a lli zwina?.	Do you have any idea how to make sauce without salt that is good?.
ssmou7at a chef!.	Sorry Chef!.
ayeh a chef.	Yes chef!.
maghankounch chef wa3er kon kant lml7a Daroria!.	I would not be a good chef if salt was necessary!.
hadi benti..	That's my girl..
wach fkkerti tddi lkhbz l lbTTaT.	Have you thought about taking bread for the ducks?.
tfou..	Damn..
lla, klitha fTri9 fach knt jay l8na..	No, I ate it on the way here..
wach chadd chi haja 3liha?.	Have you got anything on her?.
3ndi hi wahd l bakia tl garro..	I just got a pack of cigarettes..
mo7alch.	probably not.
ana khayf wahd chwia.	I'm a bit worried..
3lah magltich lia 3ndk 7ayawanat f ddar?.	Didn't you say you had pets at home?.
ayeh, Tab3an..	Yes, of course..
mech o joj babbaghawat..	A cat and two parakeets..
w ach katokkelhoum?.	And what do you feed them?.
Tab3an lla!.	Of course not!.
ana machi mkellekh, rah l7ayawanat dyalo hadok, kanokkelhoum mzyan!.	I'm not stupid, they're my animals, I feed them properly!.
walakin rahom hi bTTat..	But they're just ducks..
mohim, ballia mabghitich tdir tjriba..	Well, I see you don't want to try the experiment..
machi mohim, ntmechaw f jjrda?.	It doesn't matter, we walk in the park?.
wakha..	Ok..
khllina n3tiw ttisa3 l lbTTat.	Let's leave the ducks alone..
imken lina nmchiw nchoufou ach kaydir dak sinjab tmma.	We could go see what that squirrel's doing over there.
ala mabitich t3tih yakol.	As long as you don't try to feed it.
matkhafch!.	Don't worry!.
mzyana had jrida fach tatkon zwina b7al haka.	It's nice, this park, when it looks good like that.
khssna nbdaw njibo dwira mrra mrra, kat7ess brra7a.	We should walk around more often, it feels good.
wayeh, mzyan tdir chi haja mn ghir lfraja t tlfaza.	Yeah, it's good to do something other than watching TV.
khrej iDrbek chwia tlberd.	Get some fresh air.
kayna kandouwwzo bzzaf tlwe9t kantfrrjo f tlfaza.	It's true that we spend too much time watching TV.
kan3rfo, walakin kanb9aw ghadyin.	We know, but we keep going.
chwia ghabiyya.	It's a bit stupid.
ach kat9Sed b kanb9aw ghadyin?.	What do you mean we keep going?.
awdi, kanb9aw ntfrrjo f tlfaza wakha kan3rfo annana kanDyy3o bzzaf tlwe9t.	Well, we keep watching TV, even if we know we're spending too much time there.
ch7al tlw9t binma yojdo had TbaSl llowlin a chef?.	How long before these first dishes have to be out chef?.
5 d9ay9 a moulay..	5 minutes, sir..
mat7tajch t3yyet lia moulay..	You don't need to call me sir..
nta hoa chef!.	You're the boss!.
ewa tl9na..	Well, hurry up..
magahnTyyebch ch3ria S7abni ttbSil dyal roz!.	I'm not cooking pasta I thought it was the rice dish!.
khssni nakhod had ddwa bach ntkalma fach kankon khddam m3ak.	I have to take these pills to calm me down when I'm working with you.
ma3mmrna knna kanSawbo rroz..	we never served rice..
l khmsa tl ajyal.	For five generations.
illa ala kant chi 7rb.	Unless there's a war.
wach chfto Tbla joj?.	Have you seen table two?.
dok jjoj soyya7 ngalza?.	The couple of British tourists?.
mohim, ana yalah khdmt f 9hwa 9bel idan ma3reftch..	Well, I've only worked an a cafe before so I didn't know..
3lach kayn rroz fl plakar ala ma3mmrna khddemnah?.	Why is there rice in the cupboard if we never serve it?.
wach kantsnnaw chi 7erb?.	Are we expecting a war?.
fikra wa3ra, daba nbddelha..	Great idea, I'll change it..
ah chefthoum. ghaykonou kabous..	Yes I've seen them. They will be a nightmare..
maymkench lik thder bl francais o tsennana 7na nhdro b l anglais..	you can't speak French and expect us to speak English..
o makay7emlouch yaklo l berbbouch..	And they don't like eating snails..
fin wSlti f ddisir?.	Where are you on dessert?.
wach jay?.	Is it coming?.
tsenna, rah yallah dert lma l ch3ria..	Hold on, I've only just put the water on for the pasta..
ddisir rahoa fl frigo..	The desserts are in the refrigerator..
daba nkherrejhoum fach nsali, rah yallah 3ndi joj tliddin..	I will get them out as soon as I can, but I only have two hands..
dakchi 3lach kat7reg!.	That's why it burns!.
glt rrouz hi bdde7k, knt kan9Sed ddisir!.	I said rice for fun, I meant desserts!.
a7san nokta.	Best joke ever.
l 5 tl2ajyal?.	For 5 generations?.
machi hir l pizza, tahia..	Not just pizza, too..
baraka 3lia, khllini nkmmel khdmti..	Come on, let me finish my shift..
Thella.	Ciao!.
ahya, nmchiw onl3bo tenis?.	Hey, let's go and play tenis?.
makrehtch ntsrkel chwia fchmch wahd chwia mazal.	I'd like to hang out in the sun just a little longer.
wayli!.	Really!.
achballik n9SSro match wahd o t9dr trj3 tbronza mn b3d?.	How about we have one game and you can come back and sunbath after?.
awdi, rah ma3ndich bzaf t TTa9a daba.	Well, I don't have too much energy right now.
o zaydoun, rak ba9i nta hoa rrab7, 7itach katghoch f no9aT!.	Besides, you're still the winner, 'cause you're cheating with the points!.
hadchi machi S7i7..	That's not true..
imta ghechchit!.	When have I cheated?.
had ssba7, wellbar7!.	This morning, the day before yesterday!.
machi mochkil, rah hir mabghit ndir ta haja.	It's okay, it's just that I don't want to do anything.
ach ballik flw9t lli knna la3bin fih l karTa.	What about the time when we were playing cards.
frasi chfti lia lkarTa dyali fach knt kharj..	I know you looked at my cards when I was away..
oh!.	Oh!.
nta hi katghir 7it ana 7sen mnnek..	You're just jealous because I'm better than you..
kanghir!.	Jealous!.
maymknch tkon kathder bSSe7..	You can't be serious..
Safi, ana hani ghadi l 9a8wa.	Okay, I'm going to the coffee shop.
ghat3jbk?.	Would you like it?.
pchaakh, hadchi 3lach knt kanhdr.	Oh, yeah, that's what I'm talking about.
rak ba9i Drief, nta 3ziz 3lia wakha katghoch!.	You're still nice, I like you even though you're a cheater!.
sme7 lia?.	Excuse me?.
achmn cocktail bghiti?.	What cocktail would you like?.
ah, ghanakhod Tajine, lay7fdek!.	Oh, I'll have a tajine, please!.
o wach momkin tgol l srbay hadchi?.	And can you tell the waiter that?.
ghanchouf wach ghay3Tina chi atay tahoa.	I'll see if he can give us some tea too.
wakha, mzyana!.	Okay, great!.
hani ghantkka chwia.	I'll take my nap then.
kantmnna maykonch hadchi!.	I hope it doesn't!.
daba nchoufou m3a hadchi!.	We'll see about that!.
waylii, ana rah na3s, o chokran!.	Come on, I'm sleeping, and thank you!.
chokran tanta!.	Thank you too!.
mchina!.	Let's go!.
3id milad sa3id.	Happy birthday!.
chokran..	Thank you..
ga3 ma3reft tta achnahia..	I don't even know what it is..
hada mwDou3 fchkel..	It's a weird theme..
walakin hada rah 3id miladk, ghandiro lli 3jbek.	But it's your birthday, we'll do whatever you want.
makayn tta mochkil f ddisir..	No problem for dessert..
fach kenti katfekker?.	What were you thinking of?.
daba lmosi9a?.	Now for music?.
ach ballik?.	What do you think?.
ghaykon 3ndna 3rram tl3waSer.	We'll have plenty of juice.
imken lina ndiro TTrf lmohim mn l7fla 3la brra 7it ljow skhoun.	We can have the main part of the party outside as the weather is so warm.
walakin ala makaynch lmochkil.	but if it's not a problem.
bnisba llmosi9a, gaddit wahd lista li kanDenn ghat3jbkom.	For the music, I've prepared a playlist that I think you're going to love.
mzyan mlli fkkerti fiha..	it's very nice to have thought of it..
flkharj ghaykon mzyan, 3ndi wahd lmDella f7alat bdat katSbb chta..	As for the outside will be fine, I have an umbrella in case it starts to rain..
wach fkkerti f lista dyal nas lm3rouDin?.	Have you thought about a list of guests?.
dyali tahoa, blmonasaba..	Mine too, by the way..
wach 9Sedti mDalla?.	Did you mean umbrella?.
ayeh, rak 3arf, dok lkhimat lkbar..	Yeah, you know, those big tents..
ah mzyan, chokran 3la lmosa3ada..	Oh fine, thanks for your help..
nchoufouk.	See you later.
ahlan lla Jmiaa, ach kat3awdi?.	Hello Mme Jmiaa, how are you?.
bikhir hamdolah, lhla ikhTTik..	I'm really well, thank you..
kanstmte3 blma3icha 8na..	I'm enjoying living here..
glt lik rak ghatwllefha!.	I told you you'd get used to it!.
kant hi ms2alat w9t..	It was only a matter of time..
ach kayn?.	What's up?.
kifach kaddouwez yyamatk?.	How do you deal with your days?.
3rft annani knt mtrdded bach nr7l mn dari 7it dowwezt fiha bzaf tlyamat zinin, walakin f akhir lmaTaf rah katb9a hir Tob o sima.	I know I was reluctant to leave my house as I had so many happy times there, but at the end of the day it was just bricks and mortar..
ddar hia fin nta kayn..	Home is where you are..
wayeh, makntich t9dr tb9a bo7dk fdik ddar ktr mn hakka..	Yes, you couldn't be alone in that house any more..
kan khss9k chi rf9a..	You needed company..
mttaf9 m3ak, knt wa7id..	I agree, I was lonely..
onti, wach nachTa?.	What about you, are you happy?.
ewa 3lach kathDro?.	So what are you talking about?.
ah, ana nachT..	Yes, I'm happy..
kanhDro 3la ssyasa bzzaf 8na..	We talk a lot of politics in here..
wach ssokkan lkhrin tit9asmo m3akom afkarkom?.	Do other residents share your opinions?.
hhhh lla!.	Ha ha no!.
kaygolo anani chwia radikali..	They think I am a bit extreme..
wach t9der tyy9ha?.	Can you believe that?.
ach had ktrt tkhrbi9..	What a lot of nonsense..
nta!.	You!.
radikali!.	Extreme!.
hada 3alam m9loub..	It's the backwards world..
ghatkon S3iba l9aDia annak thDer mkalmi..	It must be so difficult to talk calmly..
frasi mangddch..	I know I couldn't..
ah rah D7kt btkhbia moraha 3lihom kolhom..	Oh I just laugh quietly afterwards at them all..
bnadm 3abiT..	Silly people..
haja khra, wach chfti, chmch rah rj3at!.	Otherwise, you saw, the sun is back!.
kifach bghiti tkhrj ljjrda fahd lyamat jjayyin?.	How would you like to go out in the park in the next few days?.
lioma ghaykon ghzal, chokran..	That would be lovely, thank you..
wach 39lti 3la dok l aw9at lli knna kantmchaw fihom f jjrida fach knna Sghar?.	Do you remember the times when we used to walk in the park when we were young?.
b9a fia.	I empathize with him.
b9at fia.	I empathize with her.
maf8mtch.	I didn't understand.
chno smitk.	what's your name.
yallah nDrbo tsrkila.	let's take a walk.
ach kat3awd.	what's up.
ach kat3awd.	how are you.
a fink.	where are you.
fin ghadi.	where are you going.
7bibi.	my dear.
a8lan wa sa8lan.	hello welcome.
ki ghadya l omor.	how are things going.
ach khbark.	how are things going.
kolchi wajd.	everything is ready.
3jbatni.	I like her.
3jbni.	I like him.
daba n3yyeT lik.	I will call you.
daba nkhllS.	I will pay.
daba njerr m3ak.	I will go with you.
ana mghbribi.	I am moroccan.
jani lbrd.	I am cold.
ana bikhir.	I am good.
ana mamt2kkedch.	I'm not sure.
makhddamch.	does not work.
tb3ni.	follow me.
wSlti?.	have you arrived?.
fin knti.	where were you.
dwwr lia.	give me a call.
yallah.	let's go.
fin khddam.	where do you work.
wach kolchi hoa hadak?.	is everything ok?.
wach kayna chta?.	is it raining?.
wach kayn lberd?.	is it cold?.
wach b3id?.	is it far?.
wach skhoun?.	is it hot?.
wach ntsnna?.	should I wait?.
ach hadchi?.	what is this?.
mnin nta?.	where are you from?.
finahoa?.	where is he?.
chkon fihom?.	which one?.
kidayr l jow.	how is the weather.
ana wajd.	I am ready.
chttha.	I have seen it.
wach mcha l7al.	it is too late.
ma3rftch.	I don't know.
mllit.	I am bored.
3yit.	I am tired.
khssni nmchi.	I need to go.
ma3mmrni.	I have never.
3ndk l7e99.	you are right.
mannsach lkhir dyalk.	I am grateful to you.
mn l9oroun lwosTa.	medieval.
fia jjo3.	I am hungry.
fia l3Tech.	I am thirsty.
Tle3 b 20 dhs.	it cost 20 dhs.
Tl3 3lia b 30 dhs.	it cost me 30 dhs.
fikra zwina.	good idea.
lli khddamin m3aya.	my colleagues.
wijhat naDar.	point of view.
chi bas makayn.	that's okay.
3rfti chno.	you know.
mcha 3lih l7al.	he's late.
dowwez lwe9t.	spend time.
mn wahd na7ia.	in a way.
allah izyyen yyamek.	I wish you good days.
3tih bttisa3.	leave him alone.
fotha 3lik.	leave her alone.
ahlan!.	Hi!.
yallah rj3t..	I just got back..
kidaz nhark?.	How was your day?.
nhari daz ki zzmer..	My day was awful..
ttran kna m3TTel o 3regt..	The train was late and I got soaking wet..
3ad chef dyali 3yyeT lia l biro dyalo bach igollia rah maghaytzadnich flkhlaS had l3am 7it charika makhddamach mzyan.	Then my boss called me in to his office to tell me that I wouldn't be getting a pay rise this year as the business wasn't doing very well.
kidaz nhark?.	How was your day?.
kant S3iba!.	It was hard!.
lklyan kano mbrzTin lia rassi lw9t kollo..	The customers have been bothering me all the time..
zid 3liha, wahd lbrhouch ja o sbbni!.	Besides, a child came and insulted me!.
aa rabb l3ali!.	Oh God!.
imken nkhrjo n9ssiw.	Maybe we could go out to eat.
wakha khssni nkon tanfkker nkhbbi lflous ala makanch ghayzadni flkhlaS.	although I should be thinking about saving money if I'm not going to get a pay rise.
ayeh, n9dro nkhrjo ntgheddaw..	Yeah, we can go out for lunch..
walakin ala kano lflous homa lmochkil, idan 3lach 3ndna 3cha mgadd fddar..	But if the money's a problem, then why are we having a home-cooked dinner..
Hmmmm!.	Hmmmm!.
wach kat9Sed TbSil.	Do you mean dish?.
zwin bzzaf..	It's very good..
o ghanstemt3o biha.	And we can enjoy it.
3ziz 3lia lbTT.	I do like duck.
chi 9r3a mbrr3a dyal lma tatban mzyana..	A nice bottle of water sounds good..
ach kat9tar7?.	What do you suggest?.
hadchi mitali!.	It's perfect!.
walakin mlli nhar daz mchbbek 3ndna bjoj, ach ballik ngaddo chi dissir khawar tahoa?.	But since the day was intense for both of us, what do you think of preparing for a good dessert too?.
lmada9 dyalo 7sen daba..	It tastes better now..
hadchi zwin nit!.	It's so good!.
mn jihti, ana ghanTyyeb chi Tajin khawar!.	On my side, I'm gonna cook a great tagine!.
imkn njm3oh m3a laglas.	We can associate it with ice cream.
mohim, khllina mannsawch ndiro chwia t rryaDa fost ssimana bach n7yydo hadchi kollo..	Well, let's not forget to do a bit of sports in the week to eliminate all this..
3aDim..	Great..
ttaf9na ... bSe77a!.	We have a deal ... bon appetite!.
bS77a, blfi3l!.	Bon appétit, of course!.
Fouad, ch7al mn d9i9a ba9ia 9bl mayojd ddisir dyal Tbla rb3a?.	Fouad, how many more minutes before the desserts for table four will be ready?.
Uh... Sara7a, 3ndi wahd lmochkil a chef ....	Uh... actually, I have a problem, boss....
ma3rftch kifach ngolha lik ... walakin law3lm ila 7rgto.	I didn't know how to tell you... but I think I burned it.
drt dakchi li glti lia achef, walakin mardditch lbal llwe9t o khlito it7rg.	I did what you asked for, boss, but I didn't pay attention to the time and I let it burn....
kanDenn hada lw9t bach nbdaw mn jdid.	I think it's time to start over.
ah bda mrra khra..	Yes start again..
hada lghalaT ttani li drti lyoma o rah t3TTlti 3la lkhdma..	That's the second mistake you've made today and you were late for work..
wach kayna chi haja chaghlak?.	Is there something bothering you?.
wayeh, l omour machi 3ala mayoram had ssa3a....	Yes, it's not too good right now....
lklb dyali mriD, zid 3liha 3ndi boj3ran flpartma!.	my dog is sick, plus I have roaches in my apartment!.
walakin makayn bas, daba ngadd ddisir, o kanwa3dek ghanbda nji flw9t o ghanrdd lbal.	But it's all right, I'll do the dessert, and I promise I'll be on time and I'll be careful!.
t9dr t3tamd 3lia a chef!.	You can count on me, boss!.
Safi..	Ok..
o imken thezz chwia tchyaTa tlmakla l lkelb dyalk..	And perhaps you can take some of the waste food for your dog..
nta lah i3mmrha dar, chef..	You're very kind, boss..
walakin, rak 3arf, sskar rah mamzyanch bzaf llklab..	But, you know, sugar isn't very good for dogs..
i9dr izid imreD ktr!.	He might get even sicker!.
oh, wach imken nakhod Trf t ll7m fblaStha?.	Oh, can I get a piece of meat instead?.
hia mitalia l 3inin lk7lin..	It's perfect for black eyes..
jrreb chi Trf mn a7san l7em 3ndna..	Try a piece of our best steak..
walakin rah khs tkon S7i7a!.	but it must be true!.
bghitini n7ebb lwalida dyali?.	You want me to love my mother?.
ola hia hi chi Tari9a dyalha bach tji otchri lina chwia tll7em?.	Or is it a technique for her to come and buy us some meat?.
klyan ktr ghatkon l9aDia mbrr3a..	More customers would be great..
...l7em fo9 3inik.	...steak over your eye..
Uh, mzyan, ala bghiti!.	Uh, all right, if you want!.
ssmou7at siftt misaj bl ghalaT - hi zbel!.	Sorry sent message by mistake - complete garbage!.
tayballia ana hoa lli khssni nmchi!.	I think I'm the one who needs to quit!.
t8ellaw!.	Bye!.
7aDD sa3id a chef!.	Good luck, boss!.
hadchi bda tayban b7al ala matant7rrkoch..	It's starting to look like we're not moving..
ach ballik?.	What do you think?.
wach khssna ndowwro?.	Should we call?.
ndwwro lmen?.	Call who?.
tayballia ghayjina jawab asra3 mn nnas lli fl isti9bal..	I think we'd get a quicker response from our people in reception..
ola ghi nwrrko 3la lboutoun dyal lalarm..	Or we could just press the alarm button..
wayeh, rah knt tanfkker fl boutoun dyal lalarm..	Yeah, I was thinking about the alarm button..
ma3ndi nmra dyal tta wahd i9dr i3awenna..	I don't have the number of anyone who can help us..
3ad zid, makaynch lma..	Besides, there's no water..
baraka 3lia, daba nwrrek..	Come on, I'll press..
mzyan..	Good..
sara7a, rah kayna wahd rra9m flte7t.	Actually, there is a number on the bottom.
tfou, ma3ndich rrizo ga3..	Damn, I've haven't got any reception..
o tilifonk?.	What about your phone?.
machi 7sn mn dyalk..	No better than yours..
lli n9dro ndiro daba hoa ntsnnaw..	All we have to do now is wait..
kan 3ndi jtima3 m3a Soukaina f 2:00, o makan7mlch nkon m3TTel!.	I had a meeting with Soukaina at 2:00, and I hate being late!.
o nta?.	And you?.
knti f ssads, tanta?.	You were in the sixth grade, too?.
kanDenn kan khss n7Der tana, hir hoa maTl3atch lia fl brnamaj dyali..	I think I was supposed to be attending, too, except it doesn't appear on my schedule..
makan7melch nt3eTTel tana, walakin kanDenn ma3ndna mandirou..	I hate being late, too, but I guess there's nothing we can do about it..
wayeh, had ljtima3 8na, ghaykon S3ib ndiroh.	Yeah, this meeting here, it's gonna be hard to set up.
mohim, balak 3lia, b7ala ghankono fhadchi..	Well, never mind, it's not like we could be a part of this..
t2khir, achno hadchi tani?.	delays, what's that all about?.
kan S7abni ghanhdro 3la l3oTla..	I thought we were going to be talking about holidays..
3aadatan kankhdm nhar l3id 7it ana sakn f mrrakch 9rib l biro.	Usually I work over Aid because I live in Marrakech close to the office.
wach nta sakn f kaza ola l3a2ila sakna fchi blasa khra flblad?.	Do you live in Casablanca or do your family live in another part of the country?.
salam, bghit chi haja 9as7a, lay7fDek..	Hi, I'd like something strong, please..
khssni nnsa l a7asis dyali!.	I have to get over my emotions!.
wiski?.	Whisky?.
wach dwwzti nhar khayb?.	Have you had a bad day?.
ah, wiski, momtaz..	Yes, whiskey, perfect..
yalah 7Drt lwahd lksida..	I just witnessed an accident..
Tomobil dkhlat f mol pikala..	A car hit a cyclist..
ya laTif, kiwlla mol pikala?.	Oh god, how is the cyclist?.
hahoma wajdin lik daba a chef..	They are ready for you now Chef..
khddmtina bach ndiro wahd lkhdma.	you hired us to do a job.
wgf tmma!.	Stop right there!.
ewa yallah.	so let us do it.
sme3ni:.	Listen to me:.
hani kansm3.	i'm listening.
ghadi t3Tih l isti9ala dyalk..	You'll hand him your resignation..
mn b3d ghatjm3 7wayjek otmchi had llila..	Then you'll pack your boxes and leave tonight..
maba9ich bghit nchoufk f charika dyali mrra khra..	I never want to see you in my business again..
abadan!.	Never!.
ala bghitini nkhrj mn 8na, khssek tjerri 3lia..	if you want me out of here, you're going to have to fire me..
had lista ga3 mabghat t9ada.	the list is endless.
7aDD sa3id fach hadchi ikhrj f Sf7a lwla dyal journanat.	good luck when that hits the front page of the daily papers.
taybano bnan!.	They look delicious!.
mangddch naklhoum!.	You can't eat them!.
i9dr ikoun msmoum!.	It could be toxic!.
ana khayf chi chwia..	I'm a little scared..
ala Ta7 DDlam o magddinach nl9aw tri9na, ghadi nbda nbki!.	If it gets dark and we can't find our way, I'm gonna cry!.
wayli?.	Really?.
wach katkhaf mn DDlam?.	Are you scared of the dark?.
ana katjini zwiwen..	I find it cool..
ayy haja t9dr to93!.	Anything could happen!.
ewa wala ja chi dib?.	What if a wolf comes along?.
call him.	3yyeT 3lih.
call her.	3yyeT 3liha.
call them.	3yyeT 3lihom.
wach kaDDenn hadchi ghayo93?.	Do you think that will happen?.
3zaz 3lia l7ayawanat!.	I love animals!.
wach makay3jbokch lklab?.	Do you not like dogs?.
lklab ah, walakin ddyab lla!.	Dogs do, but wolves don't!.
mzyan..	Fine..
maghanakolhomch..	I won't eat them..
walakin fin ghanmchiw idan?.	But where should we go then?.
daba ndepaniw fin nn3so lioma..	We'll figure out where to sleep tonight..
t7t nnjoum!.	Beneath the stars!.
wach jbti chi haja bach nch3lo l3afia?.	Did you bring anything to make a fire with?.
3ndi lou9id!.	I got matches!.
kantmnna mayDrbnach lbrd..	I hope we're not getting cold..
kan kays7abni ghaykon lioma mchemmech, chfti..	I thought it was going to be really sunny today, you see..
walakin fllil ghaykber..	But at night it will grow..
chno lli ghaykber?.	What will grow?.
mohim, ana ghadi ntjbbed onchouf f nnjoum..	Well, I'm going to lie down and look at the stars..
lla, 9Sedt llil bard 3la nnhar..	No, I meant at night it's colder than during the day..
o ghdda ghadi nl9aw Tri9 rrjou3..	And tomorrow we're gonna find the way back..
kanDenn..	I suppose so..
ola gahdi ntweDDro 8na ila l abad..	Or we could be lost here forever..
m39oula..	Fair enough..
ghankhelli lghda dyali 7tta nkon fia jjou3 nit..	I'll leave my lunch until I'm really hungry..
mab9itich khayef walla?.	You're not still scared are you?.
oh, khssk tkon na3s daba....	Oh, you must be sleeping already....
fina8ia lbSla?.	Where are the onions?.
ana kantsnna lbSla..	I'm waiting for the onions..
makhssnich ntsnna!.	I shouldn't wait!.
fosT chchbka lli m7ToTa fog ttllaja.	Inside the basket that is sitting on top of the fridge.
ghanmchi njibhoum lik.	I will go and grab them for you.
hahia lbSla dyalk.	Here are your onions.
wach ba9yin khDrin?.	Are they still raw?.
maymkench!.	No way!.
9TT3hom daba o ana ghadi nwjjdhoum lik..	Chop them now and I will get them ready for you..
chnahoa TTalab lakhor?.	What is on the next order?.
ghaykhssk t3llm tSnnet lia, ola ghadi nDbber 3la wahd akhor..	You'll have to learn to obey me, or I'll find another one..
wakha a chef.	Yes chef.
chno lli tab3 a chef?.	What is next chef?.
lba9i dyal lkhDra rah wajda bach t7eTT..	The rest of the vegetables is ready for serving..
matskhenhomch bzzaf..	Don't overheat them..
ghadi it7rgo..	They'll burn..
wach t3llmti fin TTyyeb?.	Did you learn where to cook?.
maghankhllich hadchi it3awd 3awtani..	I won't let that happen again..
redd lbal.	be careful.
redd lbal f ssogan.	be careful driving.
wakha ttrjem lia hadi.	can you translate this for me.
Sefro mkhtalfa bzzaf 3la Rbat.	Sefro is very different from Rabat.
mat8ezzch l8emm.	Don't worry.
kolchi kay3rfha.	everyone knows it.
kolchi wajd.	everything is ready.
momtaz.	excellent.
fikra mzyana.	good idea.
kat3jbo bzzaf.	he likes it very much.
3awnoni.	help me.
hahoa jay 9ariban.	he's coming soon.
3ndo l7e99.	he's right.
hoa momill bzzaf.	he's very annoying.
hoa mch8our.	he's famous.
tl9na!.	Hurry!.
makansm3kch.	I can't hear you.
ma3rftch kifach nkhddmha.	I don't know how to use it.
makan7mlouch.	I dont like him.
makan7mlhach.	I don't like it.
makan8Drch mzyan.	I don't speak very well.
mabghitouch.	I don't want it.
mabghithach.	I don't want her.
mabghitch nbrzTek.	I don't want to bother you.
kan7ess brra7a.	I feel good.
ala bghiti lmo3awana dyali, hi 3lmni.	if you need my help, please let me know.
kankhrj mn lkhdma m3a 6.	I get off of work at 6.
fia chch9i9a.	I have a headache.
kantmna lik ol madam ri7la sa3ida.	I hope you and your wife have a nice trip.
3rft.	I know.
kat3jbni.	I like her.
ghandowwer lik fach nkhrj.	I'll call you when I leave.
daba nrj3 mn b3d.	I'll come back later.
daba nkhlleS.	I'll pay.
daba n8zzha.	I'll take it.
daba nddik l blaka t ttobis.	I'll take you to the bus stop.
toddrat lia l magana.	I lost my watch.
kan7ebbek.	I love you.
ana mirikani.	I'm an American.
ana mghribi.	I'm a Moroccan.
ana kansawb biti.	I'm cleaning my room.
jani lbrd.	I'm cold.
kani jay nhzzk.	I'm coming to pick you up.
ana ghant7rrek.	I'm going to leave.
ana ghanmchi.	I'm going to leave.
ana bikhir, onta?.	I'm good, and you?.
ana fr7an.	I'm happy.
fia jjou3.	I'm hungry.
ana mjowwej.	I'm married.
ana mazal mamsta3dd.	I'm not ready yet.
ana mamt2ekkedch.	I'm not sure.
fia l3Tech.	I'm thirsty.
ana mchghoul bzzaf, ma3ndich lwe9t daba.	I'm very busy, I don't have time now.
khssni nbddel 7wayji.	I need to change my clothes.
khssni nmchi l ddar.	I need to go home.
bghit hir nakol.	I only want to eat.
wach Jamila mghribia?.	Is Jamila a Moroccan?.
wach hadchi kafi?.	is that enough?.
kanDenn rah mzyana bzzaf.	I think it's very good.
